Date;Prec;Temp;PET;Qobs
2018-07-27;0.0;23.23;3.5917216900873927;1.846739051918736
2018-07-28;0.0;24.8;3.804687645072884;1.841217155756208
2018-07-29;0.0;25.07;3.852765835072268;1.8356952595936795
2018-07-30;0.0;25.53;3.925786961153487;1.8301733634311512
2018-07-31;0.0;26.07;4.00982116728551;1.8246514672686232
2018-08-01;0.0;24.0;3.7565351157416833;1.813717381489842
2018-08-02;0.0;25.37;3.9487588636189015;1.802783295711061
2018-08-03;0.0;25.7;4.006821636991622;1.7918492099322805
2018-08-04;0.0;25.63;4.013032474307185;1.780915124153499
2018-08-05;0.0;21.6;3.498552298162528;1.775502934537246
2018-08-06;0.0;21.0;3.43302478365863;1.7700907449209935
2018-08-07;0.0;24.73;3.941031879601702;1.7646785553047406
2018-08-08;0.0;26.63;4.209582885282951;1.7592663656884877
2018-08-09;0.0;23.07;3.750760277761762;1.7538541760722348
2018-08-10;0.0;20.7;3.447926803064985;1.748441986455982
2018-08-11;0.0;23.93;3.897006951263821;1.7430297968397297
2018-08-12;0.0;26.0;4.192865333077739;1.7362824379232509
2018-08-13;0.0;26.57;4.287437016764588;1.7282064108352146
2018-08-14;0.0;26.23;4.25868417488114;1.7201303837471786
2018-08-15;0.75;24.7;4.066730247772354;1.7120543566591424
2018-08-16;0.0;23.07;3.859409488087041;1.7093905191873586
2018-08-17;0.0;24.3;4.045186529968639;1.706726681715576
2018-08-18;0.0;25.63;4.246315627051785;1.7040628442437924
2018-08-19;0.975;26.5;4.385013672417621;1.7013990067720093
2018-08-20;3.825;20.83;3.610602220817112;1.6960981489841986
2018-08-21;0.0;17.17;3.111819846103621;1.6907972911963882
2018-08-22;0.0;20.87;3.646165219286624;1.6854964334085776
2018-08-23;0.0;24.87;4.227298748947503;1.6801955756207672
2018-08-24;0.0;27.53;4.622694986501402;1.6748947178329572
2018-08-25;0.0;22.6;3.9382057492200127;1.6695938600451468
2018-08-26;2.15;20.63;3.672060359193016;1.6642930022573366
2018-08-27;0.0;22.43;3.945951240587252;1.6603273137697516
2018-08-28;0.0;26.3;4.520920393298344;1.6576902934537243
2018-08-29;0.0;27.97;4.781334392075917;1.6550532731376977
2018-08-30;0.0;27.53;4.736440195579415;1.6524162528216702
2018-08-31;0.0;27.83;4.7991689831237725;1.6497792325056433
2018-09-01;0.0;27.8;4.813762917535305;1.6471422121896164
2018-09-02;0.0;21.23;3.864671458010779;1.6445051918735891
2018-09-03;0.425;17.7;3.3576124037755832;1.6418681715575618
2018-09-04;0.0;19.1;3.5784783948096366;1.6418681715575618
2018-09-05;0.0;20.97;3.8709314878753673;1.6418681715575618
2018-09-06;0.0;24.13;4.358439609700265;1.6392595936794585
2018-09-07;0.0;26.6;4.745793244239273;1.6366510158013543
2018-09-08;1.8;27.27;4.864468658615717;1.6340424379232503
2018-09-09;0.0;27.6;4.93232485722364;1.6314338600451468
2018-09-10;0.0;27.6;4.9503012344446775;1.6288252821670428
2018-09-11;0.0;27.5;4.952894814065783;1.6262167042889388
2018-09-12;0.0;28.17;5.072991743973368;1.6262167042889388
2018-09-13;0.0;28.67;5.167559084017226;1.6262167042889388
2018-09-14;0.0;24.6;4.558667520468039;1.6262167042889388
2018-09-15;1.15;24.73;4.594357125786983;1.6262167042889388
2018-09-16;6.925;25.2;4.68273672517585;1.6288537246049657
2018-09-17;0.275;24.83;4.640747302669475;1.6314907449209934
2018-09-18;2.675;25.63;4.780816329573849;1.6341277652370203
2018-09-19;1.75;25.7;4.807197855294205;1.6367647855530472
2018-09-20;0.0;25.83;4.84287806354493;1.6394018058690747
2018-09-21;13.475;26.03;4.889513956911386;1.6446474040632053
2018-09-22;5.0;26.57;4.989874606600205;1.6498930022573364
2018-09-23;6.25;27.07;5.084194009556909;1.6551386004514672
2018-09-24;2.375;26.03;4.9338934435417565;1.6603841986455985
2018-09-25;5.075;25.17;4.811102990460106;1.665629796839729
2018-09-26;5.9;26.33;5.010342565377953;1.6708753950338602
2018-09-27;0.125;26.1;4.987481051930496;1.67617625282167
2018-09-28;1.375;24.87;4.803369066305788;1.6814771106094808
2018-09-29;0.0;25.13;4.858202706610611;1.6867779683972912
2018-09-30;7.8;26.1;5.027805393076178;1.692078826185102
2018-10-01;0.125;25.47;4.9386451940451686;1.694742663656885
2018-10-02;11.575;25.37;4.934840786557441;1.697406501128668
2018-10-03;0.975;26.6;5.147354366503442;1.7000703386004512
2018-10-04;3.05;24.33;4.789093572174007;1.7027341760722352
2018-10-05;3.075;24.7;4.860910659046182;1.705398013544018
2018-10-06;15.425;24.83;4.893392626604824;1.7080618510158014
2018-10-07;11.35;25.9;5.080268362285964;1.7107256884875846
2018-10-08;0.0;25.77;5.069940419015821;1.713389525959368
2018-10-09;2.7;25.23;4.991563555455058;1.716053363431151
2018-10-10;0.0;24.93;4.952269848068649;1.7187172009029343
2018-10-11;1.65;25.0;4.973866516291667;1.721381038374718
2018-10-12;2.2;26.13;5.171345925842992;1.7240733182844243
2018-10-13;0.125;27.07;5.337667383589813;1.7267655981941306
2018-10-14;0.775;26.57;5.2641938518281055;1.7294578781038383
2018-10-15;0.0;26.33;5.233585222257092;1.732150158013544
2018-10-16;2.0;26.63;5.292937923428316;1.7348424379232503
2018-10-17;7.7;25.83;5.167817414137262;1.7375347178329574
2018-10-18;2.875;25.4;5.104119378093575;1.740226997742664
2018-10-19;0.05;25.47;5.124023808641217;1.7429192776523703
2018-10-20;1.575;24.73;5.007294800726422;1.745611557562077
2018-10-21;8.575;25.17;5.0889893821496885;1.7565456433408575
2018-10-22;25.45;25.0;5.067621796339428;1.7674797291196385
2018-10-23;1.375;24.83;5.045938388813879;1.7784138148984197
2018-10-24;14.375;24.63;5.018864449495193;1.7893479006772008
2018-10-25;2.525;24.7;5.037268585286394;1.8002819864559825
2018-10-26;11.5;26.53;5.354359740753756;1.8140180586907448
2018-10-27;0.0;27.47;5.520662782442739;1.8250618510158008
2018-10-28;0.525;25.1;5.123675250973864;1.8361056433408576
2018-10-29;5.775;25.37;5.175439746286876;1.8471494356659144
2018-10-30;3.475;25.9;5.271447649107116;1.858193227990971
2018-10-31;0.3;25.77;5.254723356061571;1.8692370203160271
2018-11-01;6.575;25.93;5.287320274569679;1.880280812641084
2018-11-02;4.25;25.73;5.258167363722863;1.897011467268623
