Date;Prec;Temp;PET;Qobs
2016-03-20;0.45;25.93;4.938102498405907;2.295178781038375
2016-03-21;10.725;26.4;4.997707456280905;2.271564243792325
2016-03-22;0.95;26.37;4.977285893061286;2.244877110609481
2016-03-23;13.45;26.17;4.929784502017195;2.2181899774266363
2016-03-24;0.075;25.7;4.839707030358639;2.1915028442437925
2016-03-25;11.025;23.77;4.520505161042018;2.1648157110609487
2016-03-26;5.175;23.57;4.474051474297331;2.1321987358916483
2016-03-27;0.275;24.87;4.661730928058709;2.0995817607223475
2016-03-28;4.875;24.87;4.645649984485189;2.0669647855530475
2016-03-29;6.125;23.77;4.458911948103014;2.034347810383748
2016-03-30;2.975;24.8;4.602163383138104;2.010950248306998
2016-03-31;6.675;26.63;4.86722203667012;1.987552686230248
2016-04-01;5.55;27.43;4.972160102194852;1.9703303837471784
2016-04-02;0.0;26.67;4.837744762533632;1.953108081264108
2016-04-03;7.125;26.87;4.850145931757797;1.9417351693002247
2016-04-04;0.0;25.87;4.68024892984501;1.9303622573363428
2016-04-05;0.725;26.5;4.757565915790178;1.92473065462754
2016-04-06;5.975;26.53;4.743765151726255;1.919099051918736
2016-04-07;0.0;26.97;4.791268272395499;1.9134674492099328
2016-04-08;0.0;27.9;4.911303725003497;1.9078358465011291
2016-04-09;6.225;26.2;4.639099233862191;1.9022042437923248
2016-04-10;6.3;26.0;4.590973903356397;1.8938803611738149
2016-04-11;0.0;25.17;4.450093862908823;1.8855564785553047
2016-04-12;10.75;25.33;4.455582373494775;1.8772325959367944
2016-04-13;0.0;25.5;4.462296422839382;1.868908713318284
2016-04-14;4.0;23.97;4.221071807054906;1.8605848306997743
2016-04-15;24.175;25.57;4.435835033076417;1.852260948081264
2016-04-16;0.0;26.77;4.590857367630317;1.846739051918736
2016-04-17;0.0;27.27;4.643698822342303;1.841217155756208
2016-04-18;0.0;26.67;4.538312930097808;1.8356952595936795
2016-04-19;0.0;26.97;4.562092371979606;1.8301733634311512
2016-04-20;0.0;26.9;4.532960545029529;1.8246514672686232
2016-04-21;0.0;27.13;4.546399143773395;1.8191295711060949
2016-04-22;0.0;26.67;4.46238737656101;1.8136076749435663
2016-04-23;0.0;26.77;4.457554125490882;1.8080857787810385
2016-04-24;0.0;27.03;4.475024896426903;1.799843972911964
2016-04-25;0.0;27.0;4.451922407315463;1.7971240632054175
2016-04-26;13.35;22.8;3.851257695045363;1.7944041534988713
2016-04-27;4.8;15.07;2.768646642507789;1.7916842437923255
2016-04-28;0.0;16.83;2.998745446624017;1.7889643340857788
