Date;P;T;IRA;IRI;Q_obs;f_cpmax_Ric;f_sfmax_Ric;f_roots_Ric;f_cpmax_Soy;f_sfmax_Soy;f_roots_Soy
2013-05-15;0.0;25.47;0.0;2.0;2.154;0.2028567270709228;0.2028567270709228;0.2028567270709228;0.2292148338467468;0.2292148338467468;0.2292148338467468
2013-05-16;0.0;24.33;0.0;2.0;2.149;0.2031150309523277;0.2031150309523277;0.2031150309523277;0.231264681965052;0.231264681965052;0.231264681965052
2013-05-17;0.0;20.47;0.0;2.0;2.14;0.2033945682775656;0.2033945682775656;0.2033945682775656;0.2334374519863136;0.2334374519863136;0.2334374519863136
2013-05-18;0.0;21.93;0.0;2.0;2.132;0.2036968795122133;0.2036968795122133;0.2036968795122133;0.2357388770311232;0.2357388770311232;0.2357388770311232
2013-05-19;0.0;23.87;0.0;2.0;2.127;0.2040235982475367;0.2040235982475367;0.2040235982475367;0.2381748372842638;0.2381748372842638;0.2381748372842638
2013-05-20;0.0;23.97;0.0;2.0;2.119;0.2043764552310039;0.2043764552310039;0.2043764552310039;0.2407513549211081;0.2407513549211081;0.2407513549211081
2013-05-21;0.0;23.43;0.0;2.0;2.11;0.2047572824375714;0.2047572824375714;0.2047572824375714;0.2434745882281187;0.2434745882281187;0.2434745882281187
2013-05-22;0.0;23.6;0.0;2.0;2.102;0.2051680171694246;0.2051680171694246;0.2051680171694246;0.246350824885312;0.246350824885312;0.246350824885312
2013-05-23;0.0;23.57;0.0;2.0;2.094;0.2056107061706382;0.2056107061706382;0.2056107061706382;0.2493864743801582;0.2493864743801582;0.2493864743801582
2013-05-24;0.0;22.87;0.0;2.0;2.086;0.206087509741975;0.206087509741975;0.206087509741975;0.2525880595242596;0.2525880595242596;0.2525880595242596
2013-05-25;0.0;21.23;0.0;2.0;2.078;0.206600705839757;0.206600705839757;0.206600705839757;0.2559622070463007;0.2559622070463007;0.2559622070463007
2013-05-26;0.0;22.37;0.0;2.0;2.07;0.2071526941414383;0.2071526941414383;0.2071526941414383;0.2595156372371833;0.2595156372371833;0.2595156372371833
2013-05-27;0.0;24.4;0.0;2.0;2.064;0.207746000059174;0.207746000059174;0.207746000059174;0.2632551526259742;0.2632551526259742;0.2632551526259742
2013-05-28;0.0;25.3;0.0;2.0;2.056;0.2083832786813394;0.2083832786813394;0.2083832786813394;0.2671876256682814;0.2671876256682814;0.2671876256682814
2013-05-29;0.15;24.87;0.0;2.0;2.048;0.2090673186205942;0.2090673186205942;0.2090673186205942;0.2713199854319588;0.2713199854319588;0.2713199854319588
2013-05-30;0.0;22.77;0.0;2.0;2.04;0.2098010457457334;0.2098010457457334;0.2098010457457334;0.2756592032686062;0.2756592032686062;0.2756592032686062
2013-05-31;5.775;22.73;0.0;2.0;2.032;0.2105875267732135;0.2105875267732135;0.2105875267732135;0.2802122774631788;0.2802122774631788;0.2802122774631788
2013-06-01;0.675;23.5;5.0;2.0;2.029;0.211429972692907;0.211429972692907;0.211429972692907;0.2849862168581523;0.2849862168581523;0.2849862168581523
2013-06-02;0.0;24.27;5.0;2.0;2.026;0.2123317420013254;0.2123317420013254;0.2123317420013254;0.2899880234530904;0.2899880234530904;0.2899880234530904
2013-06-03;7.15;23.3;5.0;2.0;2.024;0.2132963437142697;0.2132963437142697;0.2132963437142697;0.2952246739851242;0.2952246739851242;0.2952246739851242
2013-06-04;3.275;22.2;5.0;2.0;2.029;0.2143274401296304;0.2143274401296304;0.2143274401296304;0.3007031005007701;0.3007031005007701;0.3007031005007701
2013-06-05;0.0;23.27;5.0;2.0;2.029;0.2154288493098737;0.2154288493098737;0.2154288493098737;0.306430169934672;0.306430169934672;0.306430169934672
2013-06-06;0.0;24.3;5.0;2.0;2.029;0.2166045472526342;0.2166045472526342;0.2166045472526342;0.3124126627162255;0.3124126627162255;0.3124126627162255
2013-06-07;1.275;24.6;5.0;2.0;2.026;0.2178586697167883;0.2178586697167883;0.2178586697167883;0.3186572504306327;0.3186572504306327;0.3186572504306327
2013-06-08;0.0;24.4;5.0;2.0;2.024;0.2191955136704303;0.2191955136704303;0.2191955136704303;0.3251704725667;0.3251704725667;0.3251704725667
2013-06-09;0.0;24.87;5.0;2.0;2.021;0.2206195383263181;0.2206195383263181;0.2206195383263181;0.3319587123896227;0.3319587123896227;0.3319587123896227
2013-06-10;0.325;25.0;5.0;2.0;2.018;0.222135365729616;0.222135365729616;0.222135365729616;0.3390281719830714;0.3390281719830714;0.3390281719830714
2013-06-11;0.0;25.05;5.0;2.0;2.016;0.2237477808621479;0.2237477808621479;0.2237477808621479;0.3463848465110645;0.3463848465110645;0.3463848465110645
2013-06-12;0.0;24.55;5.0;2.0;2.016;0.2254617312268995;0.2254617312268995;0.2254617312268995;0.3540344977563764;0.3540344977563764;0.3540344977563764
2013-06-13;0.0;24.45;5.0;2.0;2.013;0.2272823258761858;0.2272823258761858;0.2272823258761858;0.361982626998529;0.361982626998529;0.361982626998529
2013-06-14;0.0;24.55;5.0;2.0;2.01;0.2292148338467468;0.2292148338467468;0.2292148338467468;0.3702344473007358;0.3702344473007358;0.3702344473007358
2013-06-15;0.0;24.3;5.0;2.0;2.01;0.231264681965052;0.231264681965052;0.231264681965052;0.3787948552814673;0.3787948552814673;0.3787948552814673
2013-06-16;0.0;24.85;5.0;2.0;2.008;0.2334374519863136;0.2334374519863136;0.2334374519863136;0.3876684024525402;0.3876684024525402;0.3876684024525402
2013-06-17;0.0;24.87;5.0;2.0;2.001;0.2357388770311232;0.2357388770311232;0.2357388770311232;0.3968592662117803;0.3968592662117803;0.3968592662117803
2013-06-18;0.0;25.03;5.0;2.0;1.993;0.2381748372842638;0.2381748372842638;0.2381748372842638;0.4063712205843052;0.4063712205843052;0.4063712205843052
2013-06-19;0.0;24.73;5.0;2.0;1.98;0.2407513549211081;0.2407513549211081;0.2407513549211081;0.4162076068123008;0.4162076068123008;0.4162076068123008
2013-06-20;0.675;24.57;5.0;2.0;1.972;0.2434745882281187;0.2434745882281187;0.2434745882281187;0.4263713038987646;0.4263713038987646;0.4263713038987646
